epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,633.727,0.71753,0.99055,0.99942,0.03277,0.0033329,0.0033329,0.0033329
2,1266.4,0.19446,0.99587,0.99987,0.01313,0.00633626,0.00633626,0.00633626
3,1902.19,0.23529,0.99555,0.99974,0.01406,0.00900961,0.00900961,0.00900961
4,2533.66,0.2063,0.99593,0.99971,0.01415,0.008515,0.008515,0.008515
5,3163.45,0.16407,0.99642,0.99977,0.01277,0.00802,0.00802,0.00802
6,3821.97,0.14794,0.99694,0.99981,0.01149,0.007525,0.007525,0.007525
7,4466.17,0.13656,0.99723,0.99984,0.01016,0.00703,0.00703,0.00703
8,5100.61,0.1282,0.99739,0.99984,0.00891,0.006535,0.006535,0.006535
9,5716.57,0.11757,0.99758,0.9999,0.0079,0.00604,0.00604,0.00604
10,6333.12,0.11066,0.99794,0.99994,0.00688,0.005545,0.005545,0.005545
11,6952.41,0.10271,0.99816,0.99994,0.00611,0.00505,0.00505,0.00505
12,7574.03,0.09579,0.99832,0.99994,0.00545,0.004555,0.004555,0.004555
13,8195.14,0.08577,0.99845,0.99994,0.00477,0.00406,0.00406,0.00406
14,8817.66,0.07915,0.99877,0.99994,0.00413,0.003565,0.003565,0.003565
15,9438.68,0.06914,0.99894,0.99994,0.00368,0.00307,0.00307,0.00307
16,10061.8,0.0608,0.99913,0.99994,0.00327,0.002575,0.002575,0.002575
17,10683.1,0.05255,0.99926,0.99997,0.00277,0.00208,0.00208,0.00208
18,11314.6,0.04564,0.99939,0.99997,0.00239,0.001585,0.001585,0.001585
19,11948.3,0.0361,0.99948,0.99994,0.00229,0.00109,0.00109,0.00109
20,12582.2,0.03063,0.99948,0.99997,0.00186,0.000595,0.000595,0.000595
