epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,169.248,1.00037,0.99529,1,0.02677,0.0033318,0.0033318,0.0033318
2,332.755,0.18983,0.99471,0.99989,0.0191,0.00633521,0.00633521,0.00633521
3,493.648,0.22819,0.97632,0.99931,0.06335,0.00900862,0.00900862,0.00900862
4,654.242,0.20845,0.99793,1,0.00661,0.008515,0.008515,0.008515
5,815.482,0.14485,0.99897,1,0.00329,0.00802,0.00802,0.00802
6,977.793,0.11662,1,1,0.00085,0.007525,0.007525,0.007525
7,1139.46,0.10385,0.99966,1,0.00154,0.00703,0.00703,0.00703
8,1299.96,0.09114,0.99977,1,0.0007,0.006535,0.006535,0.006535
9,1460.65,0.08303,0.99989,1,0.00064,0.00604,0.00604,0.00604
10,1621.02,0.07418,0.99989,1,0.00053,0.005545,0.005545,0.005545
11,1779.27,0.07047,1,1,0.00018,0.00505,0.00505,0.00505
12,1936.98,0.0612,1,1,0.00012,0.004555,0.004555,0.004555
13,2094.54,0.05697,1,1,0.0001,0.00406,0.00406,0.00406
14,2251.93,0.05074,1,1,9e-05,0.003565,0.003565,0.003565
15,2409.59,0.04498,1,1,7e-05,0.00307,0.00307,0.00307
16,2567.37,0.04107,1,1,6e-05,0.002575,0.002575,0.002575
17,2725.5,0.03552,1,1,5e-05,0.00208,0.00208,0.00208
18,2885.65,0.03156,1,1,4e-05,0.001585,0.001585,0.001585
19,3046.36,0.02831,1,1,4e-05,0.00109,0.00109,0.00109
20,3207.19,0.02513,1,1,4e-05,0.000595,0.000595,0.000595
