epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,455.677,0.84571,0.98318,0.99924,0.05736,0.00333274,0.00333274,0.00333274
2,908.787,0.23256,0.99184,0.99969,0.02402,0.0063361,0.0063361,0.0063361
3,1356.76,0.27388,0.99354,0.99973,0.02129,0.00900946,0.00900946,0.00900946
4,1808.28,0.24216,0.99435,0.99969,0.01701,0.008515,0.008515,0.008515
5,2262.84,0.1848,0.99569,0.99978,0.01289,0.00802,0.00802,0.00802
6,2709.83,0.15819,0.99646,0.99987,0.0111,0.007525,0.007525,0.007525
7,3158.79,0.14934,0.99668,0.99987,0.0101,0.00703,0.00703,0.00703
8,3607.63,0.13701,0.99682,0.99987,0.0094,0.006535,0.006535,0.006535
9,4054.88,0.12945,0.99708,0.99987,0.00847,0.00604,0.00604,0.00604
10,4505.73,0.11814,0.99726,0.99987,0.00773,0.005545,0.005545,0.005545
11,4956.44,0.10938,0.9974,0.99982,0.0071,0.00505,0.00505,0.00505
12,5406.48,0.09845,0.9978,0.99982,0.00653,0.004555,0.004555,0.004555
13,5856.63,0.09232,0.99807,0.99987,0.00594,0.00406,0.00406,0.00406
14,6306.1,0.08279,0.9983,0.99987,0.00543,0.003565,0.003565,0.003565
15,6756.39,0.07438,0.99843,0.99987,0.00489,0.00307,0.00307,0.00307
16,7208.5,0.06454,0.99848,0.99987,0.00438,0.002575,0.002575,0.002575
17,7678.68,0.05648,0.99865,0.99987,0.00386,0.00208,0.00208,0.00208
18,8149.34,0.04789,0.99906,0.99991,0.00327,0.001585,0.001585,0.001585
19,8614.25,0.04076,0.99928,0.99991,0.00285,0.00109,0.00109,0.00109
20,9070.79,0.03372,0.99942,0.99991,0.00248,0.000595,0.000595,0.000595
